"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"В35";"В35";"FT_TEXT";"1323";"2218";"2403";"2312";"59";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7501";"-1";"0"
"В36";"В36";"FT_TEXT";"1326";"2338";"2406";"2433";"60";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7502";"-1";"0"
"В37";"В37";"FT_TEXT";"1326";"2433";"2406";"2525";"61";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7503";"-1";"0"
"В38";"В38";"FT_TEXT";"1326";"2525";"2406";"2616";"62";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7504";"-1";"0"
"В39";"В39";"FT_TEXT";"1326";"2616";"2406";"2708";"63";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7505";"-1";"0"
"В40";"В40";"FT_TEXT";"1326";"2708";"2406";"2800";"64";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7506";"-1";"0"
"Замена_задание_В07";"Замена_задание_В07";"FT_PREDEFINED";"1336";"3434";"1360";"3488";"65";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7507";"-1";"0"
"Замена_ответ_В07";"Замена_ответ_В07";"FT_PREDEFINED";"1377";"3434";"1406";"3484";"66";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7508";"-1";"0"
"Замена_задание_В08";"Замена_задание_В08";"FT_PREDEFINED";"1428";"3436";"1462";"3480";"67";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7509";"-1";"0"
"Замена_ответ_В08";"Замена_ответ_В08";"FT_PREDEFINED";"1475";"3438";"1508";"3484";"68";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7510";"-1";"0"
"Замена_задание_В09";"Замена_задание_В09";"FT_PREDEFINED";"1534";"3435";"1562";"3482";"69";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7511";"-1";"0"
"Замена_ответ_В09";"Замена_ответ_В09";"FT_PREDEFINED";"1577";"3441";"1608";"3490";"70";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7512";"-1";"0"
"Замена_задание_В10";"Замена_задание_В10";"FT_PREDEFINED";"1628";"3441";"1652";"3480";"71";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7513";"-1";"0"
"Замена_ответ_В10";"Замена_ответ_В10";"FT_PREDEFINED";"1685";"3439";"1710";"3482";"72";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"7514";"-1";"0"
"";"";"FT_UNRECOGNIZED";"1295";"1450";"2427";"2808";"-1";"-1";"";"";"";"-1";"-1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"";"-1";"-1";"0"
"Количество_замен";"Количество_замен";"FT_TEXT";"1162";"3303";"1226";"3395";"74";"0";"0-6X";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"7516";"-1";"0"
"Подпись_отв";"Подпись_отв";"FT_CHECKMARK";"1463";"3314";"1963";"3372";"75";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_NONE";"";"-1";"";"";"";"7517";"-1";"0"
"QR_код";"QR_код";"FT_IMAGE";"74";"82";"470";"474";"76";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"";"7834";"-1";"0"
